Date_int,Date,States,Positive,Negative,Pending,Hospitalized_Currently,Hospitalized_Cumulative,In_ICU_Currently,In_ICU_Cumulative,On Ventilator_Currently,On Ventilator_Cumulative,Recovered,Deaths
20200520,5/20/2020,56,1542309,11105482,2973,40884,161616,9829,7319,4911,613,294312,87472
20200519,5/19/2020,56,1520778,10713209,2944,41174,159634,9829,7217,5032,606,289392,86070
20200518,5/18/2020,56,1499722,10334786,3596,40933,157963,10015,7064,5257,602,283178,84640
20200517,5/17/2020,56,1480158,10016330,3449,41108,156905,10164,7003,5467,593,272265,83854
20200516,5/16/2020,56,1459421,9633108,3788,42896,155726,10509,6945,5529,592,268376,83015
20200515,5/15/2020,56,1434478,9305113,2457,42854,153866,10704,6890,5746,589,250747,81729
20200514,5/14/2020,56,1410105,8967941,2673,44075,152571,10888,6795,5940,582,246414,80251
20200513,5/13/2020,56,1383174,8613213,1983,44514,149347,10978,6713,6156,572,243430,78343
20200512,5/12/2020,56,1362695,8307344,1803,45199,147250,11241,5595,6352,559,238857,76650
20200511,5/11/2020,56,1341218,8024068,1989,44191,145981,11147,6488,6350,551,232142,75107
20200510,5/10/2020,56,1323549,7653444,3095,44943,144780,11393,6445,6395,547,215591,74270
20200509,5/9/2020,56,1302072,7407137,3054,46637,143762,11496,6367,6551,543,211976,73291
20200508,5/8/2020,56,1276931,7138683,3307,47718,142037,11780,6294,6788,531,198459,71762
20200507,5/7/2020,56,1249235,6867085,3171,49130,135176,12137,5174,7070,529,194528,70002
20200506,5/6/2020,56,1221723,6590128,2742,50227,131477,9380,4911,4753,449,189425,67256
20200505,5/5/2020,56,1196630,6368950,2633,50906,129357,9348,4794,4818,439,189336,65307
20200504,5/4/2020,56,1174508,6130244,2791,50062,127397,9366,4579,4848,430,186752,62780
20200503,5/3/2020,56,1152872,5918006,2812,50312,125796,9292,4502,4761,425,179733,61868
20200502,5/2/2020,56,1126873,5703101,1578,51734,123860,9403,4386,4845,375,174987,60710
20200501,5/1/2020,56,1097036,5482485,1639,52370,121748,9205,4300,4707,376,163644,59059
20200430,4/30/2020,56,1063809,5218674,2775,53793,111987,9486,4192,4712,373,154648,57320
20200429,4/29/2020,56,1034453,5017561,4832,54930,109690,9612,4093,4796,365,147165,55182
20200428,4/28/2020,56,1007275,4811115,4206,54940,106308,9491,3798,4760,195,139041,52482
20200427,4/27/2020,56,982158,4630909,4077,54971,104249,9655,3720,4867,195,121323,50354
20200426,4/26/2020,56,961017,4455777,4445,55050,101233,14831,2571,5121,227,116529,49164
20200425,4/25/2020,56,933877,4274804,5315,56344,99099,15020,2516,5266,227,112539,48069
20200424,4/24/2020,56,897945,4031071,4396,56075,96677,15078,2468,5187,227,101296,46251
20200423,4/23/2020,56,863707,3829560,4258,57889,93451,15163,2428,5464,227,96921,44409
20200422,4/22/2020,56,831908,3667241,4191,58130,90744,15341,2370,5474,227,92978,42595
20200421,4/21/2020,56,803265,3380145,3956,58579,87822,15228,2315,5514,214,72842,40554
20200420,4/20/2020,56,777264,3257768,4037,55677,85134,14691,2193,5567,214,69493,37999
20200419,4/19/2020,56,751958,3135082,11324,55570,83030,14548,2145,5603,214,67205,36300
20200418,4/18/2020,56,724529,3002257,9906,56591,80900,14788,2096,5729,205,62840,34641
20200417,4/17/2020,56,696537,2887938,10889,57808,77455,14910,2052,6096,148,53533,32854
20200416,4/16/2020,56,664645,2761628,16927,58625,74176,15150,1834,5940,137,48851,30789
20200415,4/15/2020,56,633567,2630473,16901,59260,71238,14667,1783,6032,223,43435,28628
20200414,4/14/2020,56,603238,2524009,16615,58719,66908,14039,1715,5975,221,39268,26066
20200413,4/13/2020,56,577229,2399283,17159,55295,63743,13632,1628,6168,210,35372,23754
