Decade,Year,Commodity,EndUse,Category,Item,Unit,PublishValue
1970's,1970,Artichokes,All uses,Supply,Production,Million pounds,67.10
1970's,1970,Artichokes,All uses,Supply,Imports,Million pounds,28.50
1970's,1970,Artichokes,All uses,Supply,Total Supply,Million pounds,95.60
1970's,1970,Artichokes,All uses,Availability,Domestic Availability,Million pounds,95.60
1970's,1970,Artichokes,All uses,Availability,Per Capita Availability,Pounds,0.47
1970's,1970,Artichokes,All uses,Season Average Price,Current Dollars,$/cwt,10.30
1970's,1970,Artichokes,All uses,Season Average Price,Constant 2012 Dollars,$/cwt,47.52
1970's,1970,Asparagus,Canning,Supply,Production,Million pounds,129.80
1970's,1970,Asparagus,Canning,Supply,Imports,Million pounds,3.10
1970's,1970,Asparagus,Canning,Supply,Beginning Stocks,Million pounds,54.90
1970's,1970,Asparagus,Canning,Supply,Total Supply,Million pounds,187.80
1970's,1970,Asparagus,Canning,Availability,Exports,Million pounds,8.90
1970's,1970,Asparagus,Canning,Availability,Ending Stocks,Million pounds,56.90
1970's,1970,Asparagus,Canning,Availability,Domestic Availability,Million pounds,122.00
1970's,1970,Asparagus,Canning,Availability,Per Capita Availability,Pounds,0.59
1970's,1970,Asparagus,Canning,Season Average Price,Current Dollars,$/ton,381.00
1970's,1970,Asparagus,Canning,Season Average Price,Constant 2012 Dollars,$/ton,1757.62
1970's,1970,Asparagus,Freezing,Supply,Production,Million pounds,51.30
1970's,1970,Asparagus,Freezing,Supply,Imports,Million pounds,0.00
1970's,1970,Asparagus,Freezing,Supply,Beginning Stocks,Million pounds,25.20
1970's,1970,Asparagus,Freezing,Supply,Total Supply,Million pounds,76.50
1970's,1970,Asparagus,Freezing,Availability,Exports,Million pounds,0.30
1970's,1970,Asparagus,Freezing,Availability,Ending Stocks,Million pounds,15.80
1970's,1970,Asparagus,Freezing,Availability,Domestic Availability,Million pounds,60.40
1970's,1970,Asparagus,Freezing,Availability,Per Capita Availability,Pounds,0.29
1970's,1970,Asparagus,Freezing,Season Average Price,Current Dollars,$/ton,354.00
1970's,1970,Asparagus,Freezing,Season Average Price,Constant 2012 Dollars,$/ton,1633.07
1970's,1970,Asparagus,Fresh,Supply,Production,Million pounds,97.40
1970's,1970,Asparagus,Fresh,Supply,Total Supply,Million pounds,97.40
1970's,1970,Asparagus,Fresh,Availability,Exports,Million pounds,6.80
1970's,1970,Asparagus,Fresh,Availability,Domestic Availability,Million pounds,90.60
1970's,1970,Asparagus,Fresh,Availability,Per Capita Availability,Pounds,0.44
1970's,1970,Asparagus,Fresh,Season Average Price,Current Dollars,$/cwt,22.30
1970's,1970,Asparagus,Fresh,Season Average Price,Constant 2012 Dollars,$/cwt,102.87
1970's,1970,Broccoli,Fresh,Supply,Production,Million pounds,109.20
1970's,1970,Broccoli,Fresh,Supply,Total Supply,Million pounds,109.20
1970's,1970,Broccoli,Fresh,Availability,Domestic Availability,Million pounds,109.20
1970's,1970,Broccoli,Fresh,Availability,Per Capita Availability,Pounds,0.53
1970's,1970,Broccoli,Fresh,Season Average Price,Current Dollars,$/cwt,13.40
1970's,1970,Broccoli,Fresh,Season Average Price,Constant 2012 Dollars,$/cwt,61.82
1970's,1970,Broccoli,Processing,Supply,Production,Million pounds,216.10
1970's,1970,Broccoli,Processing,Supply,Imports,Million pounds,0.00
1970's,1970,Broccoli,Processing,Supply,Beginning Stocks,Million pounds,68.50
1970's,1970,Broccoli,Processing,Supply,Total Supply,Million pounds,284.60
1970's,1970,Broccoli,Processing,Availability,Exports,Million pounds,2.40
1970's,1970,Broccoli,Processing,Availability,Ending Stocks,Million pounds,84.40
1970's,1970,Broccoli,Processing,Availability,Domestic Availability,Million pounds,197.90
1970's,1970,Broccoli,Processing,Availability,Per Capita Availability,Pounds,0.97
1970's,1970,Broccoli,Processing,Season Average Price,Current Dollars,$/ton,161.00
1970's,1970,Broccoli,Processing,Season Average Price,Constant 2012 Dollars,$/ton,742.72
1970's,1970,Brussels Sprouts,All uses,Supply,Production,Million pounds,58.70
1970's,1970,Brussels Sprouts,All uses,Supply,Beginning Stocks,Million pounds,49.80
1970's,1970,Brussels Sprouts,All uses,Supply,Total Supply,Million pounds,108.50
1970's,1970,Brussels Sprouts,All uses,Availability,Ending Stocks,Million pounds,43.50
1970's,1970,Brussels Sprouts,All uses,Availability,Domestic Availability,Million pounds,65.10
1970's,1970,Brussels Sprouts,All uses,Availability,Per Capita Availability,Pounds,0.32
1970's,1970,Brussels Sprouts,All uses,Season Average Price,Current Dollars,$/cwt,13.50
1970's,1970,Brussels Sprouts,All uses,Season Average Price,Constant 2012 Dollars,$/cwt,62.28
1970's,1970,Cabbage,Fresh,Supply,Production,Million pounds,1866.90
1970's,1970,Cabbage,Fresh,Supply,Imports,Million pounds,7.70
1970's,1970,Cabbage,Fresh,Supply,Total Supply,Million pounds,1874.60
1970's,1970,Cabbage,Fresh,Availability,Exports,Million pounds,61.10
1970's,1970,Cabbage,Fresh,Availability,Shrink and Loss,Million pounds,35.20
1970's,1970,Cabbage,Fresh,Availability,Domestic Availability,Million pounds,1778.30
1970's,1970,Cabbage,Fresh,Availability,Per Capita Availability,Pounds,8.67
1970's,1970,Cabbage,Fresh,Season Average Price,Current Dollars,$/cwt,3.41
