Decade	Year	Commodity	EndUse	Category	Item	Unit	PublishValue
1970's	1970	Artichokes	All uses	Supply	Production	Million pounds	67.1
1970's	1970	Artichokes	All uses	Supply	Imports	Million pounds	28.5
1970's	1970	Artichokes	All uses	Supply	Total Supply	Million pounds	95.6
1970's	1970	Artichokes	All uses	Availability	Domestic Availability	Million pounds	95.6
1970's	1970	Artichokes	All uses	Availability	Per Capita Availability	Pounds	0.47
1970's	1970	Artichokes	All uses	Season Average Price	Current Dollars	$/cwt	10.3
1970's	1970	Artichokes	All uses	Season Average Price	Constant 2012 Dollars	$/cwt	47.52
1970's	1970	Asparagus	Canning	Supply	Production	Million pounds	129.8
1970's	1970	Asparagus	Canning	Supply	Imports	Million pounds	3.1
1970's	1970	Asparagus	Canning	Supply	Beginning Stocks	Million pounds	54.9
1970's	1970	Asparagus	Canning	Supply	Total Supply	Million pounds	187.8
1970's	1970	Asparagus	Canning	Availability	Exports	Million pounds	8.9
1970's	1970	Asparagus	Canning	Availability	Ending Stocks	Million pounds	56.9
1970's	1970	Asparagus	Canning	Availability	Domestic Availability	Million pounds	122
1970's	1970	Asparagus	Canning	Availability	Per Capita Availability	Pounds	0.59
1970's	1970	Asparagus	Canning	Season Average Price	Current Dollars	$/ton	381
1970's	1970	Asparagus	Canning	Season Average Price	Constant 2012 Dollars	$/ton	1757.62
1970's	1970	Asparagus	Freezing	Supply	Production	Million pounds	51.3
1970's	1970	Asparagus	Freezing	Supply	Imports	Million pounds	0
1970's	1970	Asparagus	Freezing	Supply	Beginning Stocks	Million pounds	25.2
1970's	1970	Asparagus	Freezing	Supply	Total Supply	Million pounds	76.5
1970's	1970	Asparagus	Freezing	Availability	Exports	Million pounds	0.3
1970's	1970	Asparagus	Freezing	Availability	Ending Stocks	Million pounds	15.8
1970's	1970	Asparagus	Freezing	Availability	Domestic Availability	Million pounds	60.4
1970's	1970	Asparagus	Freezing	Availability	Per Capita Availability	Pounds	0.29
1970's	1970	Asparagus	Freezing	Season Average Price	Current Dollars	$/ton	354
1970's	1970	Asparagus	Freezing	Season Average Price	Constant 2012 Dollars	$/ton	1633.07
1970's	1970	Asparagus	Fresh	Supply	Production	Million pounds	97.4
1970's	1970	Asparagus	Fresh	Supply	Total Supply	Million pounds	97.4
1970's	1970	Asparagus	Fresh	Availability	Exports	Million pounds	6.8
1970's	1970	Asparagus	Fresh	Availability	Domestic Availability	Million pounds	90.6
1970's	1970	Asparagus	Fresh	Availability	Per Capita Availability	Pounds	0.44
1970's	1970	Asparagus	Fresh	Season Average Price	Current Dollars	$/cwt	22.3
1970's	1970	Asparagus	Fresh	Season Average Price	Constant 2012 Dollars	$/cwt	102.87
1970's	1970	Broccoli	Fresh	Supply	Production	Million pounds	109.2
1970's	1970	Broccoli	Fresh	Supply	Total Supply	Million pounds	109.2
