per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,cat_name
1,11,1,0,1,0,29589,food_bev_stores
1,11,1,0,1,1,30437,food_bev_stores
1,12,1,0,1,0,27306,grocery_stores
1,12,1,0,1,1,27835,grocery_stores
1,21,1,0,1,0,15693,food_drink_service
1,21,1,0,1,1,17170,food_drink_service
2,11,1,0,1,0,28570,food_bev_stores
2,11,1,0,1,1,30382,food_bev_stores
2,12,1,0,1,0,26223,grocery_stores
2,12,1,0,1,1,27720,grocery_stores
2,21,1,0,1,0,15835,food_drink_service
2,21,1,0,1,1,16990,food_drink_service
2,11,2,0,1,1,-0.2,food_bev_stores
2,12,2,0,1,1,-0.4,grocery_stores
2,21,2,0,1,1,-1,food_drink_service
2,11,2,0,1,0,-3.4,food_bev_stores
2,12,2,0,1,0,-4,grocery_stores
2,21,2,0,1,0,0.9,food_drink_service
3,11,1,0,1,0,29682,food_bev_stores
3,11,1,0,1,1,30526,food_bev_stores
3,12,1,0,1,0,27235,grocery_stores
3,12,1,0,1,1,27848,grocery_stores
3,21,1,0,1,0,16848,food_drink_service
3,21,1,0,1,1,16916,food_drink_service
3,11,2,0,1,1,0.5,food_bev_stores
3,12,2,0,1,1,0.5,grocery_stores
3,21,2,0,1,1,-0.4,food_drink_service
3,11,2,0,1,0,3.9,food_bev_stores
3,12,2,0,1,0,3.9,grocery_stores
3,21,2,0,1,0,6.4,food_drink_service
4,11,1,0,1,0,30228,food_bev_stores
4,11,1,0,1,1,30602,food_bev_stores
4,12,1,0,1,0,27588,grocery_stores
4,12,1,0,1,1,27867,grocery_stores
4,21,1,0,1,0,16494,food_drink_service
4,21,1,0,1,1,16677,food_drink_service
4,11,2,0,1,1,0.2,food_bev_stores
4,12,2,0,1,1,0.1,grocery_stores
4,21,2,0,1,1,-1.4,food_drink_service
4,11,2,0,1,0,1.8,food_bev_stores
4,12,2,0,1,0,1.3,grocery_stores
4,21,2,0,1,0,-2.1,food_drink_service
5,11,1,0,1,0,31677,food_bev_stores
5,11,1,0,1,1,30718,food_bev_stores
5,12,1,0,1,0,28883,grocery_stores
5,12,1,0,1,1,27987,grocery_stores
5,21,1,0,1,0,17648,food_drink_service
5,21,1,0,1,1,16602,food_drink_service
5,11,2,0,1,1,0.4,food_bev_stores
5,12,2,0,1,1,0.4,grocery_stores
5,21,2,0,1,1,-0.4,food_drink_service
5,11,2,0,1,0,4.8,food_bev_stores
5,12,2,0,1,0,4.7,grocery_stores
5,21,2,0,1,0,7,food_drink_service
6,11,1,0,1,0,30769,food_bev_stores
6,11,1,0,1,1,30761,food_bev_stores
6,12,1,0,1,0,28039,grocery_stores
6,12,1,0,1,1,28011,grocery_stores
6,21,1,0,1,0,16814,food_drink_service
6,21,1,0,1,1,16277,food_drink_service
6,11,2,0,1,1,0.1,food_bev_stores
6,12,2,0,1,1,0.1,grocery_stores
6,21,2,0,1,1,-2,food_drink_service
6,11,2,0,1,0,-2.9,food_bev_stores
6,12,2,0,1,0,-2.9,grocery_stores
6,21,2,0,1,0,-4.7,food_drink_service
7,11,1,0,1,0,32402,food_bev_stores
7,11,1,0,1,1,30963,food_bev_stores
7,12,1,0,1,0,29479,grocery_stores
7,12,1,0,1,1,28183,grocery_stores
7,21,1,0,1,0,17304,food_drink_service
7,21,1,0,1,1,16496,food_drink_service
7,11,2,0,1,1,0.7,food_bev_stores
7,12,2,0,1,1,0.6,grocery_stores
7,21,2,0,1,1,1.3,food_drink_service
7,11,2,0,1,0,5.3,food_bev_stores
7,12,2,0,1,0,5.1,grocery_stores
7,21,2,0,1,0,2.9,food_drink_service
8,11,1,0,1,0,31469,food_bev_stores
8,11,1,0,1,1,31041,food_bev_stores
8,12,1,0,1,0,28645,grocery_stores
8,12,1,0,1,1,28222,grocery_stores
8,21,1,0,1,0,17888,food_drink_service
8,21,1,0,1,1,16733,food_drink_service
8,11,2,0,1,1,0.3,food_bev_stores
8,12,2,0,1,1,0.1,grocery_stores
8,21,2,0,1,1,1.4,food_drink_service
8,11,2,0,1,0,-2.9,food_bev_stores
8,12,2,0,1,0,-2.8,grocery_stores
8,21,2,0,1,0,3.4,food_drink_service
9,11,1,0,1,0,30162,food_bev_stores
9,11,1,0,1,1,30942,food_bev_stores
9,12,1,0,1,0,27475,grocery_stores
9,12,1,0,1,1,28122,grocery_stores
9,21,1,0,1,0,16459,food_drink_service
9,21,1,0,1,1,16812,food_drink_service
9,11,2,0,1,1,-0.3,food_bev_stores
9,12,2,0,1,1,-0.4,grocery_stores
9,21,2,0,1,1,0.5,food_drink_service
9,11,2,0,1,0,-4.2,food_bev_stores
9,12,2,0,1,0,-4.1,grocery_stores
9,21,2,0,1,0,-8,food_drink_service
10,11,1,0,1,0,31407,food_bev_stores
10,11,1,0,1,1,31148,food_bev_stores
10,12,1,0,1,0,28583,grocery_stores
10,12,1,0,1,1,28328,grocery_stores
10,21,1,0,1,0,17668,food_drink_service
10,21,1,0,1,1,17104,food_drink_service
10,11,2,0,1,1,0.7,food_bev_stores
10,12,2,0,1,1,0.7,grocery_stores
10,21,2,0,1,1,1.7,food_drink_service
10,11,2,0,1,0,4.1,food_bev_stores
10,12,2,0,1,0,4,grocery_stores
10,21,2,0,1,0,7.3,food_drink_service
11,11,1,0,1,0,30388,food_bev_stores
11,11,1,0,1,1,30992,food_bev_stores
11,12,1,0,1,0,27620,grocery_stores
11,12,1,0,1,1,28184,grocery_stores
11,21,1,0,1,0,16723,food_drink_service
11,21,1,0,1,1,17420,food_drink_service
11,11,2,0,1,1,-0.5,food_bev_stores
11,12,2,0,1,1,-0.5,grocery_stores
11,21,2,0,1,1,1.8,food_drink_service
11,11,2,0,1,0,-3.2,food_bev_stores
11,12,2,0,1,0,-3.4,grocery_stores
11,21,2,0,1,0,-5.3,food_drink_service
12,11,1,0,1,0,34170,food_bev_stores
12,11,1,0,1,1,31057,food_bev_stores
12,12,1,0,1,0,30294,grocery_stores
12,12,1,0,1,1,28233,grocery_stores
12,21,1,0,1,0,17491,food_drink_service
12,21,1,0,1,1,17491,food_drink_service
12,11,2,0,1,1,0.2,food_bev_stores
12,12,2,0,1,1,0.2,grocery_stores
