val,yearmonth,per_name,cat_name
1,1992-2,2/1/1992,car_dealers
2.1,1992-2,2/1/1992,furniture
0.8,1992-2,2/1/1992,electronics_appliances
0.5,1992-2,2/1/1992,building_garden_supplies
-0.2,1992-2,2/1/1992,food_bev_stores
-0.4,1992-2,2/1/1992,grocery_stores
0.1,1992-2,2/1/1992,health_personalcare_stores
-1.6,1992-2,2/1/1992,gas_stations
0,1992-2,2/1/1992,clothing_stores
3.9,1992-2,2/1/1992,sporting_hobby_book_stores
1.6,1992-2,2/1/1992,general_merchandise
-1,1992-2,2/1/1992,food_drink_service
-1.4,1992-3,3/1/1992,car_dealers
-0.3,1992-3,3/1/1992,furniture
0.3,1992-3,3/1/1992,electronics_appliances
0.8,1992-3,3/1/1992,building_garden_supplies
0.5,1992-3,3/1/1992,food_bev_stores
0.5,1992-3,3/1/1992,grocery_stores
0.2,1992-3,3/1/1992,health_personalcare_stores
0.3,1992-3,3/1/1992,gas_stations
-0.4,1992-3,3/1/1992,clothing_stores
-1,1992-3,3/1/1992,sporting_hobby_book_stores
-0.2,1992-3,3/1/1992,general_merchandise
-0.4,1992-3,3/1/1992,food_drink_service
1.3,1992-4,4/1/1992,car_dealers
0.7,1992-4,4/1/1992,furniture
1.1,1992-4,4/1/1992,electronics_appliances
-2.3,1992-4,4/1/1992,building_garden_supplies
0.2,1992-4,4/1/1992,food_bev_stores
0.1,1992-4,4/1/1992,grocery_stores
1,1992-4,4/1/1992,health_personalcare_stores
0.6,1992-4,4/1/1992,gas_stations
2,1992-4,4/1/1992,clothing_stores
1.5,1992-4,4/1/1992,sporting_hobby_book_stores
0.4,1992-4,4/1/1992,general_merchandise
-1.4,1992-4,4/1/1992,food_drink_service
1.7,1992-5,5/1/1992,car_dealers
-0.6,1992-5,5/1/1992,furniture
0.6,1992-5,5/1/1992,electronics_appliances
0.4,1992-5,5/1/1992,building_garden_supplies
0.4,1992-5,5/1/1992,food_bev_stores
0.4,1992-5,5/1/1992,grocery_stores
-0.8,1992-5,5/1/1992,health_personalcare_stores
1.3,1992-5,5/1/1992,gas_stations
-1.1,1992-5,5/1/1992,clothing_stores
-0.7,1992-5,5/1/1992,sporting_hobby_book_stores
0.4,1992-5,5/1/1992,general_merchandise
-0.4,1992-5,5/1/1992,food_drink_service
1.2,1992-6,6/1/1992,car_dealers
1.6,1992-6,6/1/1992,furniture
0.3,1992-6,6/1/1992,electronics_appliances
0.1,1992-6,6/1/1992,building_garden_supplies
0.1,1992-6,6/1/1992,food_bev_stores
0.1,1992-6,6/1/1992,grocery_stores
-0.5,1992-6,6/1/1992,health_personalcare_stores
0.1,1992-6,6/1/1992,gas_stations
1.6,1992-6,6/1/1992,clothing_stores
1.1,1992-6,6/1/1992,sporting_hobby_book_stores
-0.2,1992-6,6/1/1992,general_merchandise
-2,1992-6,6/1/1992,food_drink_service
1.2,1992-7,7/1/1992,car_dealers
-0.7,1992-7,7/1/1992,furniture
2.2,1992-7,7/1/1992,electronics_appliances
0,1992-7,7/1/1992,building_garden_supplies
0.7,1992-7,7/1/1992,food_bev_stores
0.6,1992-7,7/1/1992,grocery_stores
-1.7,1992-7,7/1/1992,health_personalcare_stores
0.6,1992-7,7/1/1992,gas_stations
0.4,1992-7,7/1/1992,clothing_stores
1,1992-7,7/1/1992,sporting_hobby_book_stores
-0.5,1992-7,7/1/1992,general_merchandise
1.3,1992-7,7/1/1992,food_drink_service
-1.7,1992-8,8/1/1992,car_dealers
0.1,1992-8,8/1/1992,furniture
-0.8,1992-8,8/1/1992,electronics_appliances
1.2,1992-8,8/1/1992,building_garden_supplies
0.3,1992-8,8/1/1992,food_bev_stores
0.1,1992-8,8/1/1992,grocery_stores
3,1992-8,8/1/1992,health_personalcare_stores
1,1992-8,8/1/1992,gas_stations
1.8,1992-8,8/1/1992,clothing_stores
-2.1,1992-8,8/1/1992,sporting_hobby_book_stores
1.9,1992-8,8/1/1992,general_merchandise
1.4,1992-8,8/1/1992,food_drink_service
3.8,1992-9,9/1/1992,car_dealers
-0.6,1992-9,9/1/1992,furniture
1.2,1992-9,9/1/1992,electronics_appliances
0.6,1992-9,9/1/1992,building_garden_supplies
-0.3,1992-9,9/1/1992,food_bev_stores
-0.4,1992-9,9/1/1992,grocery_stores
-1.2,1992-9,9/1/1992,health_personalcare_stores
1.2,1992-9,9/1/1992,gas_stations
0.1,1992-9,9/1/1992,clothing_stores
1.5,1992-9,9/1/1992,sporting_hobby_book_stores
0.4,1992-9,9/1/1992,general_merchandise
0.5,1992-9,9/1/1992,food_drink_service
0.2,1992-10,10/1/1992,car_dealers
-1.1,1992-10,10/1/1992,furniture
2.1,1992-10,10/1/1992,electronics_appliances
-0.1,1992-10,10/1/1992,building_garden_supplies
0.7,1992-10,10/1/1992,food_bev_stores
0.7,1992-10,10/1/1992,grocery_stores
1.5,1992-10,10/1/1992,health_personalcare_stores
0.4,1992-10,10/1/1992,gas_stations
0.2,1992-10,10/1/1992,clothing_stores
1.1,1992-10,10/1/1992,sporting_hobby_book_stores
0.8,1992-10,10/1/1992,general_merchandise
1.7,1992-10,10/1/1992,food_drink_service
-0.1,1992-11,11/1/1992,car_dealers
1.6,1992-11,11/1/1992,furniture
-1.6,1992-11,11/1/1992,electronics_appliances
-0.9,1992-11,11/1/1992,building_garden_supplies
-0.5,1992-11,11/1/1992,food_bev_stores
-0.5,1992-11,11/1/1992,grocery_stores
-0.5,1992-11,11/1/1992,health_personalcare_stores
0.4,1992-11,11/1/1992,gas_stations
-1,1992-11,11/1/1992,clothing_stores
0.5,1992-11,11/1/1992,sporting_hobby_book_stores
1.1,1992-11,11/1/1992,general_merchandise
1.8,1992-11,11/1/1992,food_drink_service
1,1992-12,12/1/1992,car_dealers
1.4,1992-12,12/1/1992,furniture
3.2,1992-12,12/1/1992,electronics_appliances
1.9,1992-12,12/1/1992,building_garden_supplies
0.2,1992-12,12/1/1992,food_bev_stores
0.2,1992-12,12/1/1992,grocery_stores
0.4,1992-12,12/1/1992,health_personalcare_stores
0.9,1992-12,12/1/1992,gas_stations
2.4,1992-12,12/1/1992,clothing_stores
4.8,1992-12,12/1/1992,sporting_hobby_book_stores
3.2,1992-12,12/1/1992,general_merchandise
0.4,1992-12,12/1/1992,food_drink_service
3.7,1993-1,1/1/1993,car_dealers
4.7,1993-1,1/1/1993,furniture
3.5,1993-1,1/1/1993,electronics_appliances
2.3,1993-1,1/1/1993,building_garden_supplies
0,1993-1,1/1/1993,food_bev_stores
0,1993-1,1/1/1993,grocery_stores
-0.1,1993-1,1/1/1993,health_personalcare_stores
-0.6,1993-1,1/1/1993,gas_stations
2.5,1993-1,1/1/1993,clothing_stores
-4,1993-1,1/1/1993,sporting_hobby_book_stores
-1.7,1993-1,1/1/1993,general_merchandise
0.4,1993-1,1/1/1993,food_drink_service
-2.4,1993-2,2/1/1993,car_dealers
-2.8,1993-2,2/1/1993,furniture
-1.2,1993-2,2/1/1993,electronics_appliances
0.7,1993-2,2/1/1993,building_garden_supplies
0.6,1993-2,2/1/1993,food_bev_stores
0.7,1993-2,2/1/1993,grocery_stores
1.8,1993-2,2/1/1993,health_personalcare_stores
1.5,1993-2,2/1/1993,gas_stations
-4.1,1993-2,2/1/1993,clothing_stores
-1.7,1993-2,2/1/1993,sporting_hobby_book_stores
0,1993-2,2/1/1993,general_merchandise
-0.4,1993-2,2/1/1993,food_drink_service
-2.1,1993-3,3/1/1993,car_dealers
-1,1993-3,3/1/1993,furniture
0.9,1993-3,3/1/1993,electronics_appliances
-2,1993-3,3/1/1993,building_garden_supplies
-0.6,1993-3,3/1/1993,food_bev_stores
-0.4,1993-3,3/1/1993,grocery_stores
-0.6,1993-3,3/1/1993,health_personalcare_stores
-0.8,1993-3,3/1/1993,gas_stations
-2.3,1993-3,3/1/1993,clothing_stores
0.6,1993-3,3/1/1993,sporting_hobby_book_stores
-0.6,1993-3,3/1/1993,general_merchandise
0.4,1993-3,3/1/1993,food_drink_service
7.1,1993-4,4/1/1993,car_dealers
2.3,1993-4,4/1/1993,furniture
1.8,1993-4,4/1/1993,electronics_appliances
2.1,1993-4,4/1/1993,building_garden_supplies
0.2,1993-4,4/1/1993,food_bev_stores
0.2,1993-4,4/1/1993,grocery_stores
1,1993-4,4/1/1993,health_personalcare_stores
0.4,1993-4,4/1/1993,gas_stations
3.4,1993-4,4/1/1993,clothing_stores
3.9,1993-4,4/1/1993,sporting_hobby_book_stores
2.3,1993-4,4/1/1993,general_merchandise
1.2,1993-4,4/1/1993,food_drink_service
1.3,1993-5,5/1/1993,car_dealers
1.7,1993-5,5/1/1993,furniture
0.6,1993-5,5/1/1993,electronics_appliances
2.7,1993-5,5/1/1993,building_garden_supplies
0.1,1993-5,5/1/1993,food_bev_stores
0.1,1993-5,5/1/1993,grocery_stores
-0.2,1993-5,5/1/1993,health_personalcare_stores
-0.1,1993-5,5/1/1993,gas_stations
1.3,1993-5,5/1/1993,clothing_stores
-0.1,1993-5,5/1/1993,sporting_hobby_book_stores
1.1,1993-5,5/1/1993,general_merchandise
0.3,1993-5,5/1/1993,food_drink_service
-0.3,1993-6,6/1/1993,car_dealers
-0.7,1993-6,6/1/1993,furniture
1.8,1993-6,6/1/1993,electronics_appliances
-0.4,1993-6,6/1/1993,building_garden_supplies
0,1993-6,6/1/1993,food_bev_stores
0,1993-6,6/1/1993,grocery_stores
0.2,1993-6,6/1/1993,health_personalcare_stores
-0.4,1993-6,6/1/1993,gas_stations
0.2,1993-6,6/1/1993,clothing_stores
-1.2,1993-6,6/1/1993,sporting_hobby_book_stores
-0.2,1993-6,6/1/1993,general_merchandise
1.2,1993-6,6/1/1993,food_drink_service
3.6,1993-7,7/1/1993,car_dealers
0.7,1993-7,7/1/1993,furniture
1.6,1993-7,7/1/1993,electronics_appliances
1,1993-7,7/1/1993,building_garden_supplies
0.6,1993-7,7/1/1993,food_bev_stores
0.6,1993-7,7/1/1993,grocery_stores
1,1993-7,7/1/1993,health_personalcare_stores
