per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val,per_name,cat_name
1,6,1,0,1,1,33478.0,1992-01-01,car_dealers
1,8,1,0,1,1,4254.0,1992-01-01,furniture
1,9,1,0,1,1,3874.0,1992-01-01,electronics_appliances
1,10,1,0,1,1,10845.0,1992-01-01,building_garden_supplies
1,11,1,0,1,1,30437.0,1992-01-01,food_bev_stores
1,12,1,0,1,1,27835.0,1992-01-01,grocery_stores
1,13,1,0,1,1,7421.0,1992-01-01,health_personalcare_stores
1,14,1,0,1,1,12803.0,1992-01-01,gas_stations
1,15,1,0,1,1,9716.0,1992-01-01,clothing_stores
1,16,1,0,1,1,3385.0,1992-01-01,sporting_hobby_book_stores
1,17,1,0,1,1,19879.0,1992-01-01,general_merchandise
1,21,1,0,1,1,17170.0,1992-01-01,food_drink_service
2,6,1,0,1,1,33817.0,1992-02-01,car_dealers
2,8,1,0,1,1,4342.0,1992-02-01,furniture
2,9,1,0,1,1,3904.0,1992-02-01,electronics_appliances
2,10,1,0,1,1,10904.0,1992-02-01,building_garden_supplies
2,11,1,0,1,1,30382.0,1992-02-01,food_bev_stores
2,12,1,0,1,1,27720.0,1992-02-01,grocery_stores
2,13,1,0,1,1,7425.0,1992-02-01,health_personalcare_stores
2,14,1,0,1,1,12601.0,1992-02-01,gas_stations
2,15,1,0,1,1,9712.0,1992-02-01,clothing_stores
2,16,1,0,1,1,3516.0,1992-02-01,sporting_hobby_book_stores
2,17,1,0,1,1,20202.0,1992-02-01,general_merchandise
2,21,1,0,1,1,16990.0,1992-02-01,food_drink_service
3,6,1,0,1,1,33336.0,1992-03-01,car_dealers
3,8,1,0,1,1,4330.0,1992-03-01,furniture
3,9,1,0,1,1,3916.0,1992-03-01,electronics_appliances
3,10,1,0,1,1,10986.0,1992-03-01,building_garden_supplies
3,11,1,0,1,1,30526.0,1992-03-01,food_bev_stores
3,12,1,0,1,1,27848.0,1992-03-01,grocery_stores
3,13,1,0,1,1,7443.0,1992-03-01,health_personalcare_stores
3,14,1,0,1,1,12639.0,1992-03-01,gas_stations
3,15,1,0,1,1,9669.0,1992-03-01,clothing_stores
3,16,1,0,1,1,3482.0,1992-03-01,sporting_hobby_book_stores
3,17,1,0,1,1,20168.0,1992-03-01,general_merchandise
3,21,1,0,1,1,16916.0,1992-03-01,food_drink_service
4,6,1,0,1,1,33776.0,1992-04-01,car_dealers
4,8,1,0,1,1,4359.0,1992-04-01,furniture
