val,yearmonth,per_name,cat_name
33478,1992-1,1/1/1992,car_dealers
4254,1992-1,1/1/1992,furniture
3874,1992-1,1/1/1992,electronics_appliances
10845,1992-1,1/1/1992,building_garden_supplies
30437,1992-1,1/1/1992,food_bev_stores
27835,1992-1,1/1/1992,grocery_stores
7421,1992-1,1/1/1992,health_personalcare_stores
12803,1992-1,1/1/1992,gas_stations
9716,1992-1,1/1/1992,clothing_stores
3385,1992-1,1/1/1992,sporting_hobby_book_stores
19879,1992-1,1/1/1992,general_merchandise
17170,1992-1,1/1/1992,food_drink_service
33817,1992-2,2/1/1992,car_dealers
4342,1992-2,2/1/1992,furniture
3904,1992-2,2/1/1992,electronics_appliances
10904,1992-2,2/1/1992,building_garden_supplies
30382,1992-2,2/1/1992,food_bev_stores
27720,1992-2,2/1/1992,grocery_stores
7425,1992-2,2/1/1992,health_personalcare_stores
12601,1992-2,2/1/1992,gas_stations
9712,1992-2,2/1/1992,clothing_stores
3516,1992-2,2/1/1992,sporting_hobby_book_stores
20202,1992-2,2/1/1992,general_merchandise
16990,1992-2,2/1/1992,food_drink_service
33336,1992-3,3/1/1992,car_dealers
4330,1992-3,3/1/1992,furniture
3916,1992-3,3/1/1992,electronics_appliances
10986,1992-3,3/1/1992,building_garden_supplies
30526,1992-3,3/1/1992,food_bev_stores
27848,1992-3,3/1/1992,grocery_stores
7443,1992-3,3/1/1992,health_personalcare_stores
12639,1992-3,3/1/1992,gas_stations
9669,1992-3,3/1/1992,clothing_stores
3482,1992-3,3/1/1992,sporting_hobby_book_stores
20168,1992-3,3/1/1992,general_merchandise
16916,1992-3,3/1/1992,food_drink_service
33776,1992-4,4/1/1992,car_dealers
4359,1992-4,4/1/1992,furniture
3958,1992-4,4/1/1992,electronics_appliances
10738,1992-4,4/1/1992,building_garden_supplies
30602,1992-4,4/1/1992,food_bev_stores
27867,1992-4,4/1/1992,grocery_stores
7516,1992-4,4/1/1992,health_personalcare_stores
12710,1992-4,4/1/1992,gas_stations
9862,1992-4,4/1/1992,clothing_stores
3535,1992-4,4/1/1992,sporting_hobby_book_stores
20258,1992-4,4/1/1992,general_merchandise
16677,1992-4,4/1/1992,food_drink_service
34357,1992-5,5/1/1992,car_dealers
4331,1992-5,5/1/1992,furniture
3981,1992-5,5/1/1992,electronics_appliances
10777,1992-5,5/1/1992,building_garden_supplies
30718,1992-5,5/1/1992,food_bev_stores
27987,1992-5,5/1/1992,grocery_stores
7458,1992-5,5/1/1992,health_personalcare_stores
12870,1992-5,5/1/1992,gas_stations
9755,1992-5,5/1/1992,clothing_stores
3512,1992-5,5/1/1992,sporting_hobby_book_stores
20345,1992-5,5/1/1992,general_merchandise
16602,1992-5,5/1/1992,food_drink_service
34781,1992-6,6/1/1992,car_dealers
4401,1992-6,6/1/1992,furniture
3992,1992-6,6/1/1992,electronics_appliances
10790,1992-6,6/1/1992,building_garden_supplies
30761,1992-6,6/1/1992,food_bev_stores
28011,1992-6,6/1/1992,grocery_stores
7417,1992-6,6/1/1992,health_personalcare_stores
12886,1992-6,6/1/1992,gas_stations
9915,1992-6,6/1/1992,clothing_stores
3549,1992-6,6/1/1992,sporting_hobby_book_stores
20298,1992-6,6/1/1992,general_merchandise
16277,1992-6,6/1/1992,food_drink_service
35199,1992-7,7/1/1992,car_dealers
4368,1992-7,7/1/1992,furniture
4081,1992-7,7/1/1992,electronics_appliances
10785,1992-7,7/1/1992,building_garden_supplies
30963,1992-7,7/1/1992,food_bev_stores
28183,1992-7,7/1/1992,grocery_stores
7292,1992-7,7/1/1992,health_personalcare_stores
12966,1992-7,7/1/1992,gas_stations
9957,1992-7,7/1/1992,clothing_stores
3586,1992-7,7/1/1992,sporting_hobby_book_stores
20205,1992-7,7/1/1992,general_merchandise
16496,1992-7,7/1/1992,food_drink_service
34585,1992-8,8/1/1992,car_dealers
4372,1992-8,8/1/1992,furniture
4048,1992-8,8/1/1992,electronics_appliances
10915,1992-8,8/1/1992,building_garden_supplies
31041,1992-8,8/1/1992,food_bev_stores
28222,1992-8,8/1/1992,grocery_stores
7508,1992-8,8/1/1992,health_personalcare_stores
13092,1992-8,8/1/1992,gas_stations
10141,1992-8,8/1/1992,clothing_stores
3512,1992-8,8/1/1992,sporting_hobby_book_stores
20593,1992-8,8/1/1992,general_merchandise
16733,1992-8,8/1/1992,food_drink_service
35890,1992-9,9/1/1992,car_dealers
4345,1992-9,9/1/1992,furniture
4098,1992-9,9/1/1992,electronics_appliances
10980,1992-9,9/1/1992,building_garden_supplies
30942,1992-9,9/1/1992,food_bev_stores
28122,1992-9,9/1/1992,grocery_stores
7420,1992-9,9/1/1992,health_personalcare_stores
13246,1992-9,9/1/1992,gas_stations
10154,1992-9,9/1/1992,clothing_stores
3566,1992-9,9/1/1992,sporting_hobby_book_stores
20684,1992-9,9/1/1992,general_merchandise
16812,1992-9,9/1/1992,food_drink_service
35972,1992-10,10/1/1992,car_dealers
4299,1992-10,10/1/1992,furniture
4186,1992-10,10/1/1992,electronics_appliances
10971,1992-10,10/1/1992,building_garden_supplies
31148,1992-10,10/1/1992,food_bev_stores
28328,1992-10,10/1/1992,grocery_stores
7535,1992-10,10/1/1992,health_personalcare_stores
13304,1992-10,10/1/1992,gas_stations
10174,1992-10,10/1/1992,clothing_stores
3607,1992-10,10/1/1992,sporting_hobby_book_stores
20851,1992-10,10/1/1992,general_merchandise
17104,1992-10,10/1/1992,food_drink_service
35928,1992-11,11/1/1992,car_dealers
4368,1992-11,11/1/1992,furniture
4118,1992-11,11/1/1992,electronics_appliances
10873,1992-11,11/1/1992,building_garden_supplies
30992,1992-11,11/1/1992,food_bev_stores
28184,1992-11,11/1/1992,grocery_stores
7497,1992-11,11/1/1992,health_personalcare_stores
13358,1992-11,11/1/1992,gas_stations
10076,1992-11,11/1/1992,clothing_stores
