per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
1,21,1,0,1,0,15693
1,21,1,0,1,1,17170
2,21,1,0,1,0,15835
2,21,1,0,1,1,16990
2,21,2,0,1,1,-1
2,21,2,0,1,0,0.9
3,21,1,0,1,0,16848
3,21,1,0,1,1,16916
3,21,2,0,1,1,-0.4
3,21,2,0,1,0,6.4
4,21,1,0,1,0,16494
4,21,1,0,1,1,16677
4,21,2,0,1,1,-1.4
4,21,2,0,1,0,-2.1
5,21,1,0,1,0,17648
5,21,1,0,1,1,16602
5,21,2,0,1,1,-0.4
5,21,2,0,1,0,7
6,21,1,0,1,0,16814
6,21,1,0,1,1,16277
6,21,2,0,1,1,-2
6,21,2,0,1,0,-4.7
7,21,1,0,1,0,17304
7,21,1,0,1,1,16496
7,21,2,0,1,1,1.3
7,21,2,0,1,0,2.9
8,21,1,0,1,0,17888
8,21,1,0,1,1,16733
8,21,2,0,1,1,1.4
8,21,2,0,1,0,3.4
9,21,1,0,1,0,16459
9,21,1,0,1,1,16812
9,21,2,0,1,1,0.5
9,21,2,0,1,0,-8
10,21,1,0,1,0,17668
10,21,1,0,1,1,17104
10,21,2,0,1,1,1.7
10,21,2,0,1,0,7.3
11,21,1,0,1,0,16723
11,21,1,0,1,1,17420
11,21,2,0,1,1,1.8
11,21,2,0,1,0,-5.3
12,21,1,0,1,0,17491
12,21,1,0,1,1,17491
12,21,2,0,1,1,0.4
12,21,2,0,1,0,4.6
13,21,1,0,1,0,16201
13,21,1,0,1,1,17553
13,21,2,0,1,1,0.4
13,21,2,0,1,0,-7.4
14,21,1,0,1,0,15625
14,21,1,0,1,1,17478
14,21,2,0,1,1,-0.4
14,21,2,0,1,0,-3.6
15,21,1,0,1,0,17414
15,21,1,0,1,1,17554
15,21,2,0,1,1,0.4
15,21,2,0,1,0,11.4
16,21,1,0,1,0,17841
16,21,1,0,1,1,17770
16,21,2,0,1,1,1.2
16,21,2,0,1,0,2.5
17,21,1,0,1,0,18712
17,21,1,0,1,1,17821
17,21,2,0,1,1,0.3
17,21,2,0,1,0,4.9
18,21,1,0,1,0,18571
18,21,1,0,1,1,18030
18,21,2,0,1,1,1.2
18,21,2,0,1,0,-0.8
19,21,1,0,1,0,19092
19,21,1,0,1,1,17927
19,21,2,0,1,1,-0.6
19,21,2,0,1,0,2.8
20,21,1,0,1,0,19329
20,21,1,0,1,1,18201
20,21,2,0,1,1,1.5
20,21,2,0,1,0,1.2
21,21,1,0,1,0,18108
21,21,1,0,1,1,18515
21,21,2,0,1,1,1.7
21,21,2,0,1,0,-6.3
22,21,1,0,1,0,18745
22,21,1,0,1,1,18199
22,21,2,0,1,1,-1.7
22,21,2,0,1,0,3.5
23,21,1,0,1,0,17463
23,21,1,0,1,1,18153
23,21,2,0,1,1,-0.3
23,21,2,0,1,0,-6.8
24,21,1,0,1,0,18366
24,21,1,0,1,1,18238
24,21,2,0,1,1,0.5
24,21,2,0,1,0,5.2
25,21,1,0,1,0,16073
25,21,1,0,1,1,17624
25,21,2,0,1,1,-3.4
25,21,2,0,1,0,-12.5
26,21,1,0,1,0,16509
26,21,1,0,1,1,18425
26,21,2,0,1,1,4.5
26,21,2,0,1,0,2.7
27,21,1,0,1,0,18757
27,21,1,0,1,1,18813
27,21,2,0,1,1,2.1
27,21,2,0,1,0,13.6
28,21,1,0,1,0,18774
28,21,1,0,1,1,18533
28,21,2,0,1,1,-1.5
28,21,2,0,1,0,0.1
29,21,1,0,1,0,19400
29,21,1,0,1,1,18600
29,21,2,0,1,1,0.4
29,21,2,0,1,0,3.3
30,21,1,0,1,0,19437
30,21,1,0,1,1,18889
30,21,2,0,1,1,1.6
30,21,2,0,1,0,0.2
31,21,1,0,1,0,20157
31,21,1,0,1,1,18962
31,21,2,0,1,1,0.4
31,21,2,0,1,0,3.7
32,21,1,0,1,0,19943
32,21,1,0,1,1,18868
32,21,2,0,1,1,-0.5
32,21,2,0,1,0,-1.1
33,21,1,0,1,0,18826
33,21,1,0,1,1,18978
33,21,2,0,1,1,0.6
33,21,2,0,1,0,-5.6
34,21,1,0,1,0,19314
34,21,1,0,1,1,19010
34,21,2,0,1,1,0.2
34,21,2,0,1,0,2.6
35,21,1,0,1,0,18248
35,21,1,0,1,1,19028
35,21,2,0,1,1,0.1
35,21,2,0,1,0,-5.5
36,21,1,0,1,0,19562
36,21,1,0,1,1,19178
36,21,2,0,1,1,0.8
36,21,2,0,1,0,7.2
37,21,1,0,1,0,17340
37,21,1,0,1,1,19160
37,21,2,0,1,1,-0.1
37,21,2,0,1,0,-11.4
38,21,1,0,1,0,16982
38,21,1,0,1,1,18911
38,21,2,0,1,1,-1.3
38,21,2,0,1,0,-2.1
39,21,1,0,1,0,19369
39,21,1,0,1,1,19234
39,21,2,0,1,1,1.7
39,21,2,0,1,0,14.1
40,21,1,0,1,0,19404
40,21,1,0,1,1,19346
40,21,2,0,1,1,0.6
40,21,2,0,1,0,0.2
41,21,1,0,1,0,20209
41,21,1,0,1,1,19450
41,21,2,0,1,1,0.5
41,21,2,0,1,0,4.1
42,21,1,0,1,0,20235
42,21,1,0,1,1,19419
42,21,2,0,1,1,-0.2
42,21,2,0,1,0,0.1
43,21,1,0,1,0,20502
43,21,1,0,1,1,19489
43,21,2,0,1,1,0.4
43,21,2,0,1,0,1.3
44,21,1,0,1,0,20878
44,21,1,0,1,1,19715
44,21,2,0,1,1,1.2
44,21,2,0,1,0,1.8
45,21,1,0,1,0,19601
45,21,1,0,1,1,19640
45,21,2,0,1,1,-0.4
45,21,2,0,1,0,-6.1
46,21,1,0,1,0,19768
46,21,1,0,1,1,19611
46,21,2,0,1,1,-0.1
46,21,2,0,1,0,0.9
47,21,1,0,1,0,18785
47,21,1,0,1,1,19609
47,21,2,0,1,1,0
47,21,2,0,1,0,-5
48,21,1,0,1,0,19939
48,21,1,0,1,1,19625
48,21,2,0,1,1,0.1
48,21,2,0,1,0,6.1
49,21,1,0,1,0,17647
49,21,1,0,1,1,19564
49,21,2,0,1,1,-0.3
49,21,2,0,1,0,-11.5
50,21,1,0,1,0,18439
50,21,1,0,1,1,19742
50,21,2,0,1,1,0.9
50,21,2,0,1,0,4.5
51,21,1,0,1,0,20259
51,21,1,0,1,1,19862
51,21,2,0,1,1,0.6
51,21,2,0,1,0,9.9
52,21,1,0,1,0,19832
52,21,1,0,1,1,19932
52,21,2,0,1,1,0.4
