per_idx,cat_idx,dt_idx,et_idx,is_adj,val
1,12,1,0,0,27306
1,12,1,0,1,27835
2,12,1,0,0,26223
2,12,1,0,1,27720
2,12,2,0,1,-0.4
2,12,2,0,0,-4
3,12,1,0,0,27235
3,12,1,0,1,27848
3,12,2,0,1,0.5
3,12,2,0,0,3.9
4,12,1,0,0,27588
4,12,1,0,1,27867
4,12,2,0,1,0.1
4,12,2,0,0,1.3
5,12,1,0,0,28883
5,12,1,0,1,27987
5,12,2,0,1,0.4
5,12,2,0,0,4.7
6,12,1,0,0,28039
6,12,1,0,1,28011
6,12,2,0,1,0.1
6,12,2,0,0,-2.9
7,12,1,0,0,29479
7,12,1,0,1,28183
7,12,2,0,1,0.6
7,12,2,0,0,5.1
8,12,1,0,0,28645
8,12,1,0,1,28222
8,12,2,0,1,0.1
8,12,2,0,0,-2.8
9,12,1,0,0,27475
9,12,1,0,1,28122
9,12,2,0,1,-0.4
9,12,2,0,0,-4.1
10,12,1,0,0,28583
10,12,1,0,1,28328
10,12,2,0,1,0.7
10,12,2,0,0,4
11,12,1,0,0,27620
11,12,1,0,1,28184
11,12,2,0,1,-0.5
11,12,2,0,0,-3.4
12,12,1,0,0,30294
12,12,1,0,1,28233
12,12,2,0,1,0.2
12,12,2,0,0,9.7
13,12,1,0,0,27571
13,12,1,0,1,28220
13,12,2,0,1,0
13,12,2,0,0,-9
14,12,1,0,0,25748
14,12,1,0,1,28419
14,12,2,0,1,0.7
14,12,2,0,0,-6.6
15,12,1,0,0,27911
15,12,1,0,1,28307
15,12,2,0,1,-0.4
15,12,2,0,0,8.4
16,12,1,0,0,28112
16,12,1,0,1,28367
16,12,2,0,1,0.2
16,12,2,0,0,0.7
17,12,1,0,0,29096
17,12,1,0,1,28386
17,12,2,0,1,0.1
17,12,2,0,0,3.5
18,12,1,0,0,28576
18,12,1,0,1,28377
18,12,2,0,1,0
18,12,2,0,0,-1.8
19,12,1,0,0,30067
19,12,1,0,1,28554
19,12,2,0,1,0.6
19,12,2,0,0,5.2
20,12,1,0,0,28470
20,12,1,0,1,28357
20,12,2,0,1,-0.7
20,12,2,0,0,-5.3
21,12,1,0,0,28022
21,12,1,0,1,28478
21,12,2,0,1,0.4
21,12,2,0,0,-1.6
22,12,1,0,0,28532
22,12,1,0,1,28618
22,12,2,0,1,0.5
22,12,2,0,0,1.8
23,12,1,0,0,28081
23,12,1,0,1,28625
23,12,2,0,1,0
23,12,2,0,0,-1.6
24,12,1,0,0,31132
24,12,1,0,1,28773
24,12,2,0,1,0.5
24,12,2,0,0,10.9
25,12,1,0,0,27889
25,12,1,0,1,28722
25,12,2,0,1,-0.2
25,12,2,0,0,-10.4
26,12,1,0,0,26175
26,12,1,0,1,28923
26,12,2,0,1,0.7
26,12,2,0,0,-6.1
27,12,1,0,0,29261
27,12,1,0,1,28914
27,12,2,0,1,0
27,12,2,0,0,11.8
28,12,1,0,0,28529
28,12,1,0,1,29111
28,12,2,0,1,0.7
28,12,2,0,0,-2.5
29,12,1,0,0,29402
29,12,1,0,1,29025
29,12,2,0,1,-0.3
29,12,2,0,0,3.1
30,12,1,0,0,29721
30,12,1,0,1,29311
30,12,2,0,1,1
30,12,2,0,0,1.1
31,12,1,0,0,30344
31,12,1,0,1,29149
31,12,2,0,1,-0.6
31,12,2,0,0,2.1
32,12,1,0,0,29792
32,12,1,0,1,29410
32,12,2,0,1,0.9
32,12,2,0,0,-1.8
33,12,1,0,0,29102
33,12,1,0,1,29545
33,12,2,0,1,0.5
33,12,2,0,0,-2.3
34,12,1,0,0,29079
34,12,1,0,1,29343
34,12,2,0,1,-0.7
34,12,2,0,0,-0.1
35,12,1,0,0,29077
35,12,1,0,1,29520
35,12,2,0,1,0.6
35,12,2,0,0,0
36,12,1,0,0,32152
36,12,1,0,1,29443
36,12,2,0,1,-0.3
36,12,2,0,0,10.6
37,12,1,0,0,28629
37,12,1,0,1,29791
37,12,2,0,1,1.2
37,12,2,0,0,-11
38,12,1,0,0,26762
38,12,1,0,1,29604
38,12,2,0,1,-0.6
38,12,2,0,0,-6.5
39,12,1,0,0,29708
39,12,1,0,1,29619
39,12,2,0,1,0.1
39,12,2,0,0,11
40,12,1,0,0,29086
40,12,1,0,1,29499
40,12,2,0,1,-0.4
40,12,2,0,0,-2.1
41,12,1,0,0,30388
41,12,1,0,1,29763
41,12,2,0,1,0.9
41,12,2,0,0,4.5
42,12,1,0,0,30229
42,12,1,0,1,29812
42,12,2,0,1,0.2
42,12,2,0,0,-0.5
43,12,1,0,0,30654
43,12,1,0,1,29675
43,12,2,0,1,-0.5
43,12,2,0,0,1.4
44,12,1,0,0,30434
44,12,1,0,1,29721
44,12,2,0,1,0.2
44,12,2,0,0,-0.7
45,12,1,0,0,29378
45,12,1,0,1,29735
45,12,2,0,1,0
45,12,2,0,0,-3.5
46,12,1,0,0,29068
46,12,1,0,1,29692
46,12,2,0,1,-0.1
46,12,2,0,0,-1.1
47,12,1,0,0,29619
47,12,1,0,1,29858
47,12,2,0,1,0.6
47,12,2,0,0,1.9
48,12,1,0,0,32454
48,12,1,0,1,29994
48,12,2,0,1,0.5
48,12,2,0,0,9.6
49,12,1,0,0,29172
49,12,1,0,1,30105
49,12,2,0,1,0.4
49,12,2,0,0,-10.1
50,12,1,0,0,28191
50,12,1,0,1,29990
50,12,2,0,1,-0.4
50,12,2,0,0,-3.4
51,12,1,0,0,30245
