CATEGORIES,,,,,,
cat_idx,cat_code,cat_desc,cat_indent,,,
1,44X72,44X72: Retail Trade and Food Services,0,,,
2,44Y72,"44Y72: Retail Trade and Food Services, ex Auto",0,,,
3,44Z72,"44Z72: Retail Trade and Food Services, ex Gas",0,,,
4,44W72,"44W72: Retail Trade and Food Services, ex Auto and Gas",0,,,
5,44000,44000: Retail Trade,0,,,
6,441,441: Motor Vehicle and Parts Dealers,0,,,
7,441X,"4411,4412: Auto and Other Motor Vehicles",0,,,
8,442,442: Furniture and Home Furnishings Stores,0,,,
9,443,443: Electronics and Appliance Stores,0,,,
10,444,444: Building Mat. and Garden Equip. and Supplies Dealers,0,,,
11,445,445: Food and Beverage Stores,0,,,
12,4451,4451: Grocery Stores,0,,,
13,446,446: Health and Personal Care Stores,0,,,
14,447,447: Gasoline Stations,0,,,
15,448,448: Clothing and Clothing Access. Stores,0,,,
16,451,"451: Sporting Goods, Hobby, Musical Instrument, and Book Stores",0,,,
17,452,452: General Merchandise Stores,0,,,
18,4521E,4521: Department Stores,0,,,
19,453,453: Miscellaneous Store Retailers,0,,,
20,454,454: Nonstore Retailers,0,,,
21,722,722: Food Services and Drinking Places,0,,,
,,,,,,
,,,,,,
DATA TYPES,,,,,,
dt_idx,dt_code,dt_desc,dt_unit,,,
1,SM,Sales - Monthly,MLN$,,,
2,MPCSM,Sales - Monthly Percent Change,PCT,,,
,,,,,,
,,,,,,
ERROR TYPES,,,,,,
et_idx,et_code,et_desc,et_unit,,,
1,E_SM,CV of Sales - Monthly,PCT,,,
2,E_MPCSM,SE of Sales - Monthly Percent Change,PCT,,,
,,,,,,
,,,,,,
GEO LEVELS,,,,,,
geo_idx,geo_code,geo_desc,,,,
1,US,U.S. Total,,,,
,,,,,,
,,,,,,
TIME PERIODS,,,,,,
per_idx,per_name,,,,,
1,Jan-92,,,,,
2,Feb-92,,,,,
3,Mar-92,,,,,
4,Apr-92,,,,,
5,May-92,,,,,
6,Jun-92,,,,,
7,Jul-92,,,,,
8,Aug-92,,,,,
9,Sep-92,,,,,
10,Oct-92,,,,,
11,Nov-92,,,,,
12,Dec-92,,,,,
13,Jan-93,,,,,
14,Feb-93,,,,,
15,Mar-93,,,,,
16,Apr-93,,,,,
17,May-93,,,,,
18,Jun-93,,,,,
19,Jul-93,,,,,
20,Aug-93,,,,,
21,Sep-93,,,,,
22,Oct-93,,,,,
23,Nov-93,,,,,
24,Dec-93,,,,,
25,Jan-94,,,,,
26,Feb-94,,,,,
27,Mar-94,,,,,
28,Apr-94,,,,,
29,May-94,,,,,
30,Jun-94,,,,,
31,Jul-94,,,,,
32,Aug-94,,,,,
33,Sep-94,,,,,
34,Oct-94,,,,,
35,Nov-94,,,,,
36,Dec-94,,,,,
37,Jan-95,,,,,
38,Feb-95,,,,,
39,Mar-95,,,,,
40,Apr-95,,,,,
41,May-95,,,,,
42,Jun-95,,,,,
43,Jul-95,,,,,
44,Aug-95,,,,,
45,Sep-95,,,,,
46,Oct-95,,,,,
47,Nov-95,,,,,
48,Dec-95,,,,,
49,Jan-96,,,,,
50,Feb-96,,,,,
51,Mar-96,,,,,
52,Apr-96,,,,,
53,May-96,,,,,
54,Jun-96,,,,,
55,Jul-96,,,,,
56,Aug-96,,,,,
57,Sep-96,,,,,
58,Oct-96,,,,,
59,Nov-96,,,,,
60,Dec-96,,,,,
61,Jan-97,,,,,
62,Feb-97,,,,,
