per_idx,cat_idx,dt_idx,et_idx,geo_idx,is_adj,val
1,6,1,0,1,0,29811
1,6,1,0,1,1,33478
1,8,1,0,1,0,3846
1,8,1,0,1,1,4254
1,9,1,0,1,0,3657
1,9,1,0,1,1,3874
1,10,1,0,1,0,8964
1,10,1,0,1,1,10845
1,11,1,0,1,0,29589
1,11,1,0,1,1,30437
1,12,1,0,1,0,27306
1,12,1,0,1,1,27835
1,13,1,0,1,0,7258
1,13,1,0,1,1,7421
1,14,1,0,1,0,12099
1,14,1,0,1,1,12803
1,15,1,0,1,0,6938
1,15,1,0,1,1,9716
1,16,1,0,1,0,3023
1,16,1,0,1,1,3385
1,17,1,0,1,0,14996
1,17,1,0,1,1,19879
1,21,1,0,1,0,15693
1,21,1,0,1,1,17170
2,6,1,0,1,0,31217
2,6,1,0,1,1,33817
2,8,1,0,1,0,3908
2,8,1,0,1,1,4342
2,9,1,0,1,0,3490
2,9,1,0,1,1,3904
2,10,1,0,1,0,9023
2,10,1,0,1,1,10904
2,11,1,0,1,0,28570
2,11,1,0,1,1,30382
2,12,1,0,1,0,26223
2,12,1,0,1,1,27720
2,13,1,0,1,0,7150
2,13,1,0,1,1,7425
2,14,1,0,1,0,11580
2,14,1,0,1,1,12601
2,15,1,0,1,0,7524
2,15,1,0,1,1,9712
2,16,1,0,1,0,2806
2,16,1,0,1,1,3516
2,17,1,0,1,0,16015
2,17,1,0,1,1,20202
2,21,1,0,1,0,15835
2,21,1,0,1,1,16990
2,6,2,0,1,1,1
2,8,2,0,1,1,2.1
2,9,2,0,1,1,0.8
2,10,2,0,1,1,0.5
2,11,2,0,1,1,-0.2
2,12,2,0,1,1,-0.4
2,13,2,0,1,1,0.1
2,14,2,0,1,1,-1.6
2,15,2,0,1,1,0
2,16,2,0,1,1,3.9
2,17,2,0,1,1,1.6
2,21,2,0,1,1,-1
2,6,2,0,1,0,4.7
2,8,2,0,1,0,1.6
2,9,2,0,1,0,-4.6
2,10,2,0,1,0,0.7
2,11,2,0,1,0,-3.4
2,12,2,0,1,0,-4
2,13,2,0,1,0,-1.5
2,14,2,0,1,0,-4.3
2,15,2,0,1,0,8.4
2,16,2,0,1,0,-7.2
2,17,2,0,1,0,6.8
2,21,2,0,1,0,0.9
3,6,1,0,1,0,35136
3,6,1,0,1,1,33336
3,8,1,0,1,0,4157
3,8,1,0,1,1,4330
3,9,1,0,1,0,3669
3,9,1,0,1,1,3916
3,10,1,0,1,0,10608
3,10,1,0,1,1,10986
3,11,1,0,1,0,29682
3,11,1,0,1,1,30526
3,12,1,0,1,0,27235
3,12,1,0,1,1,27848
3,13,1,0,1,0,7413
3,13,1,0,1,1,7443
3,14,1,0,1,0,12272
3,14,1,0,1,1,12639
3,15,1,0,1,0,8475
3,15,1,0,1,1,9669
3,16,1,0,1,0,3040
3,16,1,0,1,1,3482
3,17,1,0,1,0,17984
3,17,1,0,1,1,20168
3,21,1,0,1,0,16848
3,21,1,0,1,1,16916
3,6,2,0,1,1,-1.4
3,8,2,0,1,1,-0.3
3,9,2,0,1,1,0.3
3,10,2,0,1,1,0.8
3,11,2,0,1,1,0.5
3,12,2,0,1,1,0.5
3,13,2,0,1,1,0.2
3,14,2,0,1,1,0.3
3,15,2,0,1,1,-0.4
3,16,2,0,1,1,-1
3,17,2,0,1,1,-0.2
3,21,2,0,1,1,-0.4
3,6,2,0,1,0,12.6
3,8,2,0,1,0,6.4
3,9,2,0,1,0,5.1
3,10,2,0,1,0,17.6
3,11,2,0,1,0,3.9
3,12,2,0,1,0,3.9
3,13,2,0,1,0,3.7
3,14,2,0,1,0,6
3,15,2,0,1,0,12.6
3,16,2,0,1,0,8.3
3,17,2,0,1,0,12.3
3,21,2,0,1,0,6.4
4,6,1,0,1,0,36082
4,6,1,0,1,1,33776
4,8,1,0,1,0,4141
4,8,1,0,1,1,4359
4,9,1,0,1,0,3527
4,9,1,0,1,1,3958
4,10,1,0,1,0,11630
4,10,1,0,1,1,10738
4,11,1,0,1,0,30228
4,11,1,0,1,1,30602
4,12,1,0,1,0,27588
4,12,1,0,1,1,27867
4,13,1,0,1,0,7531
4,13,1,0,1,1,7516
4,14,1,0,1,0,12443
