Year,Asparagus,Broccoli,Cabbage,Carrots,Cauliflower,Cucumbers,Head Lettuce,Leaf & Romaine Lettuce,Mushrooms,Onions,Snap beans,Spinach,Sweet Corn,Tomatoes
1970,97.4,109.2,1866.9,1218.2,151.9,447.8,4836.5,0,58.3,2602.3,312,61.1,1594.2,1933.4
1971,85.8,149.6,1921.5,1287.1,143.4,432.6,4936.7,0,66.3,2490.3,309.6,63.3,1547.4,1887.7
1972,94.7,147.4,1861.1,1402.1,175.1,470.2,5047,0,76.7,2449.5,313.7,59.4,1630.4,2088.5
1973,88,160.7,1990.7,1435.7,160.2,420.6,5243.5,0,102.3,2501.8,303.3,62.8,1675.8,2043.1
1974,84.9,168.2,1971.2,1473.9,168.3,467.6,5323.1,0,126.1,2747.9,292,60.7,1652.9,2098.1
1975,91.5,213.9,2019.7,1423.9,197.9,496.9,5410.8,0,142.1,2544.4,317.9,62.9,1678.5,2226.4
1976,96.2,234.8,1912.2,1399.7,224.3,510.9,5640,0,151.2,3085.5,318.3,68.5,1746.7,2296.7
1977,76.7,270.3,1917.4,1216.3,238.3,564.7,6043.2,0,191.1,2918.9,296.3,83.6,1663.8,2098.7
1978,71.7,271.5,2013.4,1213.1,193.3,593.1,6052.8,0,229.5,3052.9,292.1,91.5,1511.6,2302.3
1979,64.8,329.7,1936.9,1330.8,271.1,592.1,6143.9,0,255.8,3150.7,292.8,106.4,1501.5,2361.2
1980,78.9,381.9,1884.9,1393.2,284.6,614.3,6336.3,0,275.1,2902.1,304.4,118.7,1524.5,2556.7
1981,82.1,453.1,1981.1,1463.2,351.7,603.7,6268.2,0,319.1,2984.5,292.6,142.6,1475.2,2607
1982,89.4,541.4,2087.7,1568.5,342,722.2,6294.9,0,337.2,3396.1,297.3,146.7,1443.5,2676.9
1983,98,558.2,1975,1523.4,370.4,728.6,5775.5,0,388.1,3219,288.2,140.8,1487.4,2726.2
1984,104.3,674,2002.3,1561.6,481.7,766.1,6397.6,0,419.9,3605.3,310.7,146.4,1560.7,2816.3
1985,115.2,715.4,2132.2,1534.5,490.5,723.2,6133.4,778.7,427.2,3802.9,298.1,181.7,1575.4,2974
1986,138.7,844.2,2143.4,1606,590.6,745.7,5829,571.2,457.1,3605.1,299.1,166.4,1505,3136.1
1987,138.8,855.9,2275.9,2089.6,592.8,813.3,6787.7,613,471.1,3761.9,295.7,166.2,1566.4,3241.4
1988,148.1,1002.3,2251.2,1785.7,646.5,834.9,7050.5,784.2,488.2,3874.4,296.2,174.8,1457.4,3588.9
1989,149.2,1074.4,2146.5,2038.6,662.2,805.2,7523.1,915.8,516,4020.7,293.8,182.6,1654.3,3596.2
1990,142.4,989.3,2163.4,2110.6,654,857.6,7320.1,1061.6,516.1,4397.3,273.8,213,1745.5,3380
1991,137,936.8,2187.1,1997.3,615.7,854.1,7077.8,1157.5,501.2,4266,300,228.5,1552.7,3398.8
1992,137.6,1060.2,2326.7,2169.8,607.2,915.6,7081,1388.7,527,4689.3,393.2,235.1,1847.3,3903.3
1993,125.2,1068.5,2481.3,2888,701.1,933.5,6781.1,1535.5,525.3,5056.4,410.2,197.6,1884.8,3666.3
1994,131.1,1415.2,2478.3,3350.9,734.5,941.5,7005.8,1710,540.5,5599.3,417.7,223,2212.1,3738.7
1995,110,1384.3,2210.4,2951.8,648.4,1000.2,6234.9,1787.4,546,5585.4,444.1,203.6,2179.2,3409.8
1996,111.4,1442.8,2290,3323.6,680.1,983.6,6207.2,1775.6,564.5,5564.6,396.4,193.4,2312.7,3363.4
1997,124.8,1574.4,2526.7,3858.9,632.3,1157.1,6879.4,2024.5,631.1,5960.9,380.5,326.5,2364.1,3424.8
1998,126.4,1612.8,2377.3,2706.8,546.8,1119.7,6546.1,2076.7,670.8,5841.9,485.6,296,2630.7,3525.6
1999,145.5,1949.1,2163.5,2661.7,666.6,1182.6,7318.1,2393.1,681.3,6248.2,558,305.7,2576.2,4026.9
2000,150.4,1950.2,2562.3,2708,635,1087.3,6967.3,2702.4,706.5,6236.8,588.1,423.9,2602.7,4162
