Year,Month,FAH_nominal_wtax_wtips_million,FAFH_nominal_wtax_wtips_million,Total_nominal_food_sales_million,FAH_constdollar_million,FAFH_constdollar_million,Total_constant_dollar_food_sales_million
2019,December,"74,901.67","73,337.91","148,239.58","36,125.06","31,012.62","67,423.64"
2019,November,"69,798.19","69,585.45","139,383.64","33,666.99","29,510.12","63,482.68"
2019,October,"67,301.77","71,609.53","138,911.30","32,380.60","30,417.63","63,227.35"
2019,September,"64,101.42","69,391.72","133,493.14","30,942.60","29,531.69","60,922.88"
2019,August,"69,333.52","75,675.25","145,008.77","33,522.32","32,289.19","66,314.81"
2019,July,"68,024.06","74,865.75","142,889.81","32,861.14","32,012.86","65,380.20"
2019,June,"66,585.59","74,299.81","140,885.39","32,159.85","31,835.12","64,515.51"
2019,May,"69,079.83","75,131.65","144,211.48","33,262.84","32,296.27","66,026.86"
2019,April,"64,854.45","70,190.13","135,044.58","31,262.73","30,235.69","61,926.26"
2019,March,"66,186.03","72,894.99","139,081.02","31,815.57","31,502.33","63,773.25"
2019,February,"58,872.48","63,234.77","122,107.25","28,358.17","27,377.49","56,099.50"
2019,January,"64,071.99","63,772.23","127,844.22","30,949.14","27,707.97","58,919.61"
2018,December,"72,707.45","70,230.21","142,937.66","35,324.10","30,618.80","66,187.29"
2018,November,"67,566.14","65,877.62","133,443.77","32,913.68","28,836.00","61,993.00"
2018,October,"65,247.06","68,449.71","133,696.78","31,713.87","30,047.40","62,115.66"
2018,September,"62,996.10","66,651.59","129,647.69","30,588.94","29,284.89","60,226.17"
2018,August,"66,276.57","71,974.20","138,250.77","32,196.80","31,693.09","64,302.49"
2018,July,"65,205.52","71,361.41","136,566.92","31,702.51","31,482.59","63,602.17"
2018,June,"64,887.73","71,326.59","136,214.31","31,635.65","31,503.18","63,566.96"
2018,May,"66,567.86","71,423.26","137,991.13","32,437.67","31,603.03","64,429.98"
2018,April,"61,445.40","66,783.71","128,229.10","29,836.97","29,648.30","59,845.71"
2018,March,"66,018.72","69,630.93","135,649.66","32,188.35","30,986.52","63,519.43"
2018,February,"58,249.40","60,571.31","118,820.71","28,396.98","26,983.96","55,662.03"
2018,January,"61,468.30","60,610.95","122,079.26","29,887.04","27,066.90","57,166.98"
2017,December,"72,177.30","67,992.91","140,170.22","35,278.37","30,470.38","65,931.96"
2017,November,"65,035.53","62,075.77","127,111.30","31,811.51","27,886.02","59,876.90"
2017,October,"62,454.99","64,340.55","126,795.55","30,404.02","28,956.02","59,611.02"
2017,September,"61,306.53","63,337.98","124,644.51","29,896.67","28,536.91","58,686.36"
2017,August,"62,955.36","65,716.80","128,672.16","30,737.13","29,700.01","60,703.62"
2017,July,"62,330.78","65,798.94","128,129.73","30,417.73","29,833.88","60,515.12"
2017,June,"61,802.74","65,779.72","127,582.46","30,242.04","29,872.46","60,392.05"
2017,May,"63,175.19","66,808.37","129,983.55","30,826.85","30,350.77","61,439.29"
2017,April,"60,849.38","64,850.59","125,699.96","29,709.18","29,513.97","59,480.46"
2017,March,"61,656.31","66,294.44","127,950.75","30,172.79","30,238.77","60,685.01"
2017,February,"56,006.06","58,650.78","114,656.84","27,445.33","26,795.54","54,461.66"
2017,January,"58,682.94","59,029.15","117,712.09","28,822.52","27,024.07","56,036.55"
2016,December,"68,660.59","63,925.50","132,586.09","33,849.49","29,373.51","63,354.38"
2016,November,"61,528.29","59,390.42","120,918.71","30,272.06","27,331.48","57,750.80"
2016,October,"60,249.02","61,657.48","121,906.51","29,490.17","28,400.51","58,072.84"
2016,September,"58,154.93","60,090.99","118,245.93","28,467.19","27,716.25","56,364.48"
2016,August,"60,223.72","61,959.65","122,183.37","29,483.06","28,627.03","58,287.90"
2016,July,"60,818.44","62,914.14","123,732.59","29,758.82","29,133.83","59,066.30"
2016,June,"60,026.78","61,397.34","121,424.13","29,343.71","28,487.64","57,981.17"
2016,May,"60,890.55","63,300.89","124,191.45","29,651.01","29,421.51","59,212.15"
2016,April,"57,887.28","62,199.93","120,087.21","28,038.68","28,971.03","57,127.87"
2016,March,"59,907.34","61,840.37","121,747.71","29,054.45","28,873.25","58,019.40"
2016,February,"55,722.78","57,201.22","112,924.00","26,832.04","26,764.86","53,636.63"
2016,January,"57,607.52","55,873.23","113,480.75","27,745.46","26,179.62","53,937.71"
2015,December,"66,183.49","60,705.95","126,889.45","31,961.67","28,538.46","60,488.01"
2015,November,"59,916.19","56,087.79","116,003.98","28,832.64","26,397.19","55,209.18"
2015,October,"59,501.08","59,730.85","119,231.93","28,453.09","28,159.98","56,575.47"
2015,September,"57,008.38","56,563.22","113,571.60","27,300.93","26,721.95","53,980.68"
2015,August,"59,958.74","59,784.51","119,743.26","28,796.07","28,396.17","57,134.90"
2015,July,"60,533.73","59,954.59","120,488.32","29,163.82","28,537.85","57,645.89"
2015,June,"58,631.14","58,767.08","117,398.23","28,306.72","27,979.45","56,241.03"
2015,May,"61,004.95","61,753.96","122,758.91","29,512.06","29,462.32","58,926.89"
2015,April,"57,281.18","58,226.95","115,508.13","27,678.99","27,844.96","55,461.22"
2015,March,"58,799.06","59,115.09","117,914.16","28,380.42","28,339.04","56,633.97"
2015,February,"53,939.07","52,264.04","106,203.12","25,894.57","25,093.58","50,877.88"
2015,January,"57,574.48","53,755.64","111,330.12","27,616.46","25,879.75","53,364.74"
2014,December,"65,378.41","56,948.17","122,326.57","31,447.41","27,461.58","58,769.73"
2014,November,"60,288.82","53,502.90","113,791.73","29,106.20","25,866.16","54,844.11"
2014,October,"59,126.49","55,876.75","115,003.24","28,481.66","27,109.47","55,433.90"
2014,September,"56,246.30","52,865.44","109,111.74","27,155.75","25,702.87","52,709.31"
2014,August,"59,906.47","56,626.29","116,532.76","29,026.01","27,616.19","56,483.34"
2014,July,"59,193.33","55,334.34","114,527.66","28,788.61","27,050.09","55,688.94"
2014,June,"57,639.97","54,321.22","111,961.19","28,111.93","26,636.49","54,600.06"
2014,May,"60,315.12","57,091.77","117,406.89","29,372.45","28,050.52","57,251.51"
2014,April,"56,758.65","53,489.85","110,248.50","27,802.58","26,324.96","53,985.16"
2014,March,"57,394.58","55,093.31","112,487.89","28,247.35","27,185.85","55,296.87"
2014,February,"52,789.85","48,344.15","101,133.99","26,074.66","23,922.11","49,879.43"
2014,January,"55,841.77","48,593.56","104,435.33","27,669.73","24,114.32","51,666.36"
2013,December,"63,032.19","52,523.40","115,555.59","31,438.58","26,083.29","57,408.83"
2013,November,"58,142.36","50,828.71","108,971.07","29,018.60","25,275.35","54,189.54"
2013,October,"56,201.38","51,504.38","107,705.76","27,955.55","25,676.02","53,508.53"
2013,September,"53,781.94","49,201.67","102,983.61","26,793.80","24,559.38","51,237.73"
2013,August,"57,593.23","53,106.08","110,699.30","28,697.37","26,532.52","55,103.45"
2013,July,"56,494.65","51,885.37","108,380.02","28,198.49","25,965.28","54,041.16"
2013,June,"55,777.05","51,635.49","107,412.54","27,850.78","25,881.86","53,606.02"
2013,May,"57,705.43","53,238.47","110,943.90","28,837.65","26,726.36","55,430.67"
2013,April,"53,206.96","50,873.45","104,080.41","26,500.82","25,581.81","51,932.32"
2013,March,"57,369.55","52,948.12","110,317.67","28,611.32","26,716.21","55,163.04"
2013,February,"51,651.35","46,661.88","98,313.23","25,731.47","23,591.11","49,166.81"
2013,January,"53,685.77","46,997.50","100,683.27","26,721.58","23,782.17","50,343.55"
2012,December,"61,843.11","50,752.67","112,595.78","30,959.24","25,720.20","56,527.49"
2012,November,"56,618.38","47,705.89","104,324.27","28,418.11","24,208.48","52,485.02"
2012,October,"55,037.09","48,743.98","103,781.07","27,605.81","24,765.80","52,215.73"
2012,September,"53,335.67","47,996.22","101,331.88","26,850.11","24,403.90","51,109.68"
2012,August,"56,256.27","50,533.93","106,790.20","28,309.68","25,748.85","53,895.40"
2012,July,"54,912.60","50,108.44","105,021.04","27,682.21","25,609.22","53,121.86"
